Overall
63
67
62
74
63
72
67
72
77
58
66
69
72
80
62
57
66
55
60
61
70
74
67
64
69
74
82
62
69
68
67
67
64
61
72
56
68
54
74
71
69
76
75
60
67
69
60
75
74
63
71
70
57
78
60
71
57
63
63
58
67
72
62
67
67
67
63
67
72
72
70
61
66
72
58
60
65
62
56
59
60
60
57
66
57
69
61
69
72
62
62
73
70
63
57
70
64
77
60
56
72
64
67
75
67
55
51
66
66
63
68
66
58
73
63
76
74
62
77
71
62
65
61
68
72
66
71
85
58
72
73
71
73
71
68
74
63
53
68
67
62
72
65
73
68
62
75
73
72
62
68
63
66
63
64
66
51
73
71
61
61
73
60
62
65
65
74
64
62
73
60
71
60
73
73
62
64
64
67
60
76
67
66
68
67
60
69
67
65
53
80
67
70
68
58
78
65
72
70
73
60
68
69
73
62
52
61
63
56
71
64
73
67
54
75
68
65
60
76
66
68
60
53
67
75
54
64
62
66
62
61
65
70
50
57
61
75
69
55
78
75
61
68
80
66
64
58
60
69
66
64
79
70
63
66
66
70
74
66
66
70
66
51
64
70
64
59
65
69
65
63
65
66
68
69
68
59
63
65
73
67
71
72
72
72
55
72
62
73
72
70
69
72
71
75
62
60
77
75
63
66
73
67
67
61
63
66
67
74
69
70
62
70
66
79
63
62
54
77
65
73
64
64
67
66
69
69
62
61
50
63
78
57
69
65
71
76
63
86
69
74
63
57
65
76
72
78
72
60
70
76
50
62
67
79
71
59
77
71
75
65
62
54
73
74
67
65
76
70
71
62
52
78
63
66
67
71
64
68
64
73
61
64
72
69
71
62
55
70
58
74
60
64
69
73
61
64
64
77
69
51
51
65
76
75
68
72
67
63
60
65
73
69
73
85
71
58
63
69
61
56
61
70
69
75
59
77
75
67
75
74
59
63
71
64
75
62
56
64
67
70
66
70
68
66
56
56
59
60
67
69
55
58
66
71
69
74
67
62
49
66
70
68
66
50
62
68
58
65
66
59
70
72
64
66
64
63
76
87
67
77
52
55
72
54
75
68
70
59
53
74
71
65
64
67
70
59
67
60
64
61
69
73
63
68
63
58
63
65
64
60
75
60
60
67
70
66
87
79
64
71
59
78
54
64
65
69
66
74
70
57
70
62
66
70
77
70
67
79
66
69
74
69
68
71
52
66
62
65
82
49
65
68
63
75
63
68
65
74
76
67
68
71
72
64
73
62
60
65
61
69
62
70
68
66
65
73
66
68
63
56
71
71
59
57
61
69
72
69
77
66
71
56
72
56
62
60
66
59
69
63
65
58
81
60
66
57
75
70
67
69
64
76
61
76
66
60
69
70
53
69
65
79
69
68
60
72
65
54
70
66
73
73
61
70
59
72
66
72
67
72
73
68
56
66
61
59
66
66
57
58
68
61
57
69
62
57
64
66
60
63
63
63
69
62
70
75
68
63
59
65
74
67
63
64
68
69
67
72
66
65
59
82
70
60
84
50
68
58
57
56
70
66
69
69
60
58
70
66
67
68
71
71
83
66
59
68
67
70
67
62
65
62
88
73
62
68
72
61
70
59
66
61
76
70
69
71
59
70
84
66
68
64
60
62
63
55
65
70
64
60
67
64
70
66
68
58
76
59
66
69
59
62
68
77
54
71
69
71
68
61
66
69
61
72
63
59
68
63
67
90
73
61
75
61
72
61
53
70
58
64
76
61
56
67
58
64
61
81
76
70
80
77
63
67
72
79
59
66
63
63
59
72
69
59
64
70
63
76
58
70
65
75
60
82
60
65
81
55
68
64
64
62
70
63
62
65
63
76
62
59
66
73
76
62
54
61
56
69
82
63
67
67
63
68
68
66
72
63
66
76
68
58
67
70
64
68
66
71
79
78
68
66
63
72
60
58
68
62
70
65
61
73
66
62
66
58
69
66
63
64
72
54
55
65
61
75
56
58
66
63
60
67
50
70
78
69
65
68
58
53
65
75
60
71
64
69
53
73
67
72
66
59
65
68
52
66
72
76
63
88
64
62
76
57
61
59
65
75
77
59
63
71
67
47
59
78
71
59
66
69
73
69
70
75
64
66
73
63
69
69
64
72
75
65
76
61
77
74
68
62
70
58
75
56
66
66
61
58
78
61
59
56
54
66
51
74
72
70
62
69
59
62
68
60
65
76
65
73
65
58
68
69
72
63
65
73
71
68
61
67
53
85
69
51
64
56
70
80
74
75
67
68
85
69
63
71
51
58
61
70
72
66
76
74
61
63
74
62
64
69
70
69
70
50
63
58
57
73
66
65
71
72
75
76
65
71
68
67
72
73
67
49
69
62
80
57
66
71
74
67
74
70
74
76
67
57
62
75
62
63
72
63
69
62
67
70
65
73
61
73
57
73
61
61
75
68
74
75
70
63
62
56
69
66
64
69
68
52
66
67
67
71
67
69
57
69
73
58
71
63
63
57
73
73
72
61
63
69
64
72
59
69
63
73
68
78
60
68
68
52
66
74
66
69
52
72
70
59
75
65
72
57
62
81
68
68
72
66
87
77
72
67
77
72
68
68
69
66
66
59
67
72
65
66
73
70
77
70
69
75
57
56
74
70
75
59
68
59
71
70
68
63
